Pidgey;Normal Flying 
Pidgeotto;Normal Flying 
Pidgeot;Normal Flying 
Rattata;Normal 
Raticate;Normal 
Spearow;Normal Flying 
Fearow;Normal Flying 
Jigglypuff;Normal Fairy 
Wigglytuff;Normal Fairy 
Meowth;Normal 
Persian;Normal 
Farfetchd;Normal Flying 
Doduo;Normal Flying 
Dodrio;Normal Flying 
Lickitung;Normal 
Chansey;Normal 
Kangaskhan;Normal 
Tauros;Normal 
Ditto;Normal 
Eevee;Normal 
Porygon;Normal 
Snorlax;Normal 
Sentret;Normal 
Furret;Normal 
Hoothoot;Normal Flying 
Noctowl;Normal Flying 
Igglybuff;Normal Fairy 
Aipom;Normal 
Girafarig;Normal Psychic 
Dunsparce;Normal 
Teddiursa;Normal 
Ursaring;Normal 
Porygon2;Normal 
Stantler;Normal 
Smeargle;Normal 
Miltank;Normal 
Blissey;Normal 
Zigzagoon;Normal 
Linoone;Normal 
Taillow;Normal Flying 
Swellow;Normal Flying 
Slakoth;Normal 
Vigoroth;Normal 
Slaking;Normal 
Whismur;Normal 
Loudred;Normal 
Exploud;Normal 
Azurill;Normal Fairy 
Skitty;Normal 
Delcatty;Normal 
Spinda;Normal 
Swablu;Normal Flying 
Zangoose;Normal 
Castform;Normal 
Kecleon;Normal 
Starly;Normal Flying 
Staravia;Normal Flying 
Staraptor;Normal Flying 
Bidoof;Normal 
Bibarel;Normal Water 
Ambipom;Normal 
Buneary;Normal 
Lopunny;Normal 
Glameow;Normal 
Purugly;Normal 
Happiny;Normal 
Chatot;Normal Flying 
Munchlax;Normal 
Lickilicky;Normal 
Porygon-z;Normal 
Regigigas;Normal 
Arceus;Normal 
Patrat;Normal 
Watchog;Normal 
Lillipup;Normal 
Herdier;Normal 
Stoutland;Normal 
Pidove;Normal Flying 
Tranquill;Normal Flying 
Unfezant;Normal Flying 
Audino;Normal 
Minccino;Normal 
Cinccino;Normal 
Deerling;Normal Grass 
Sawsbuck;Normal Grass 
Bouffalant;Normal 
Rufflet;Normal Flying 
